"","",".1",".2",".3",".4",".5",".6",".7",".8",".9",".10",".11",".12",".13",".14",".15",".16",".17",".18",".19",".20",".21",".22",".23",".24",".25",".26",".27",".28",".29",".30",".31",".32",".33",".34",".35",".36",".37",".38",".39",".40",".41",".42",".43",".44",".45",".46",".47",".48",".49",".50",".51",".52",".53",".54",".55",".56",".57",".58",".59",".60",".61",".62",".63",".64",".65",".66",".67",".68",".69",".70",".71",".72",".73",".74",".75",".76",".77",".78",".79",".80",".81",".82",".83",".84",".85",".86",".87",".88",".89",".90",".91",".92",".93",".94",".95",".96",".97",".98",".99",".100",".101",".102",".103",".104",".105",".106",".107",".108"
"2010","Angola","Benin","Burkina Faso","Central African Republic","Cote d'Ivoire","Cameroon","Congo","Djibouti","Algeria","Egypt","Ethiopia","Gabon","Ghana","Guinea","The Gambia","Guinea-Bissau","Kenya","Lesotho","Morocco","Madagascar","Mali","Mozambique","Mauritania","Mauritius","Malawi","Namibia","Niger","Nigeria","Rwanda","Senegal","Chad","Togo","Tunisia","Tanzania","Uganda","South Africa","Zambia","Zimbabwe","Albania","Argentina","Antigua and Barbuda","Australia","Austria","Belgium","Bangladesh","Bulgaria","Bosnia and Herzegovina","Bolivia","Brazil","Barbados","Canada","Switzerland","China","Colombia","Cuba","Germany","Dominica","Denmark","Dominican Republic","Spain","France","United Kingdom","Greece","Grenada","Croatia","Hungary","Indonesia","India ","Ireland","Iran","Iraq","Iceland","Jordan","Japan","Cambodia ","South Korea","Kuwait","Laos","Saint Lucia","Sri Lanka","Luxembourg","Mexico","Myanmar","Montenegro","Mongolia","Malaysia","Netherlands","Norway","Pakistan","Peru","Philippines","Portugal","Paraguay","Romania","Russia","Saudi Arabia","Serbia","Slovakia","Slovenia","Sweden","Syria","Thailand","Trinidad and Tobago","Turkey","Ukraine","Uruguay","United States","Venezuela","Vietnam"
"Cheese","0.136986301","0.082191781","0.164383562","0","0.082191781","0.054794521","0.383561644","0.520547945","1.534246575","5.945205479","0.602739726","0.767123288","0.273972603","0.136986301","2.164383562","0","2.054794521","0","4.520547945","0.02739726","0.02739726","0.02739726","3.616438356","3.506849315","0","0.876712329","2.246575342","0.273972603","0.630136986","0.383561644","0.054794521","0.02739726","3.698630137","1.753424658","0.054794521","1.123287671","0.246575342","0.821917808","3.369863014","2.739726027","3.424657534","10.65753425","33.20547945","44.10958904","0.520547945","2.082191781","3.452054795","0.136986301","1.260273973","8.438356164","30.02739726","15.50684932","0.246575342","1.287671233","0.821917808","31.7260274","0.575342466","33.5890411","0.794520548","8.739726027","34.57534247","9.890410959","11.06849315","4.082191781","3.589041096","20.02739726","0.301369863","7.561643836","23.45205479","9.01369863","0.684931507","34.4109589","1.342465753","1.835616438","0.082191781","3.945205479","5.917808219","0.054794521","2.931506849","0.191780822","13.91780822","1.726027397","1.534246575","5.095890411","11.45205479","1.315068493","3.671232877","27.69863014","11.17808219","0.410958904","0.684931507","9.890410959","0.356164384","2.246575342","11.8630137","6.520547945","0.575342466","10.08219178","25.80821918","46.68493151","2.164383562","0.602739726","1.369863014","5.726027397","4.98630137","6.273972603","5.452054795","0.849315068","0.547945205"
"Yoghurt","54.8997394","9.365946375","35.39061793","19.20647789","2.220447126","339.9171194","7.625267125","12.04888267","5.998228855","22.19903605","51.77104215","4.537590793","21.51219533","10.54863692","39.45266274","10.66698633","39.08392558","60.7251013","34.60324023","41.17433196","8.677718755","54.0894245","58.12483005","1.311226879","6.08194989","42.17544991","52.11398265","24.90247609","44.36885387","33.75819067","6.42097337","9.30148681","8.207514835","37.67499198","13.58938004","5.103179335","66.3138617","30.28078538","98.95946869","55.66881744","17.18325039","68.67568847","88.92718837","38.86492437","4.440696047","662.4223146","91.17968301","14.07407836","17.06251223","22.98533015","11.66780854","44.49862908","109.4460001","8.972398674","39.3516026","20.59661069","79.99846624","22.90608952","78.06436937","7.154307261","65.32387289","126.7505402","72.63280931","84.46021456","19.03836803","104.5967313","111.8823584","2.547788229","12.61091271","79.09652201","111.1833887","51.78612511","79.53911355","51.57181882","67.24888515","0.771413051","30.1025797","93.49152725","11.35655558","21.01451079","14.54778845","76.65251798","26.78828126","10.0266689","132.4849645","54.97806927","10.30992079","222.551181","77.72515024","9.311068866","12.43559676","6.188788024","117.5618834","12.61594814","97.17579413","110.933458","82.40887106","77.42117804","59.89997924","119.2441489","131.1512426","58.98318279","7.759921521","22.80515623","189.3962668","96.87852287","25.90366332","23.20429817","24.93684909"
"Total Milk","21.45205479","34.08219178","42.57534247","35.89041096","3.808219178","29.91780822","3.01369863","55.28767123","230.1643836","108.7123288","119.6712329","37.26027397","6.383561644","39.20547945","81.09589041","54.10958904","240.2465753","133.1506849","58.76712329","65.94520548","292.3561644","10.2739726","230.8767123","46.71232877","8.02739726","153.5068493","105.4794521","3.561643836","48.65753425","30.19178082","48.21917808","2.547945205","201.5068493","70.32876712","100.4383562","145.7534247","21.45205479","79.89041096","783.1232877","510.0547945","126.630137","549.1780822","398.2739726","161.7260274","50.63013699","325.6438356","481.7260274","98.08219178","376.4657534","73.7260274","403.5068493","699.9726027","72.54794521","301.8082192","232.1917808","399.7534247","214.9589041","532.8767123","134.739726","431.3150685","551.4246575","590.0821918","709.4794521","57.69863014","497.0958904","391.6986301","13.78082192","130.630137","584.6027397","64.82191781","53.50684932","440.0547945","115.5890411","128.3561644","4.904109589","23.31506849","91.78082192","2.739726027","80.68493151","21.31506849","277.4246575","242.2739726","37.36986301","803.6438356","140.9315068","13.8630137","763.5342466","474.8767123","232.7123288","140.8767123","1.808219178","322.7671233","190.8493151","623.4520548","426.9041096","111.1506849","392.8219178","354.5205479","393.3150685","633.6164384","221.5616438","31.97260274","70.19178082","341.0410959","463.8630137","433.3150685","598.1643836","372.6027397","8.164383562"
"Fruits","111.4520548","124.8219178","15.94520548","111.0684932","27.06849315","194.9041096","110.739726","50.35616438","246.4657534","367.9726027","19.15068493","68.4109589","176.2465753","114.8219178","18.82191781","73.78082192","211.2876712","48.93150685","198.2739726","141.5890411","205.1506849","84.71232877","27.45205479","104.3561644","133.2876712","67.39726027","77.61643836","70.63013699","440","49.39726027","24.52054795","25.45205479","214.9315068","235.890411","61.61643836","78.21917808","23.94520548","40.08219178","383.8356164","192.109589","341.0958904","221.6438356","229.8630137","155.1780822","77.5890411","97.80821918","246","128.0273973","441.1232877","163.0136986","260.5479452","222.4931507","198.3835616","189.0958904","302.8493151","166.4109589","1035.013699","217.5342466","467.890411","206.5753425","202.8219178","229.5342466","320.4383562","357.5342466","270.2739726","167.8630137","200.0821918","179.7534247","146.0273973","438.2465753","120.2465753","211.1780822","130.0273973","94.49315068","71.04109589","152.6575342","147.7260274","271.2876712","177.9178082","248.6849315","262.4383562","287.5342466","82.65753425","333.5342466","31.09589041","133.9726027","242.3835616","220.6849315","119.3150685","346.6849315","345.6712329","286.8493151","218.4931507","182.109589","143.7260274","198.0821918","167.4246575","132.0547945","295.890411","197.1506849","196","365.5890411","176.3561644","336.9315068","107.5616438","229.3424658","232.2465753","166.109589","233.369863"
"Refined Grains","840.0341229","504.7237538","239.784419","263.8027599","496.1678372","351.862782","745.5978979","255.2694593","383.4895238","435.0446869","401.6525776","439.7383281","691.3107994","385.9474816","341.9969569","185.2571938","332.9238164","418.1973244","276.4520232","538.7133276","313.8250497","456.7094579","305.6889667","296.5756501","562.2331209","254.6020828","411.6404037","318.9197228","331.9039637","348.4243131","223.3349044","533.1091117","482.6154011","458.4281545","416.2270242","156.7358789","368.6880455","384.4766502","357.8653945","332.9748029","161.1797982","139.5640672","136.1744319","162.7399372","300.4024214","277.8813813","344.1736162","299.4720299","395.8483843","162.9842312","216.801951","172.294288","327.752851","285.7652461","328.3850911","229.70965","138.8545256","113.5551939","214.1007996","225.26802","275.6020207","216.2931197","142.3192514","243.5855084","239.4731318","164.5221759","556.2641762","260.7124","271.0970019","422.0155615","420.0051605","111.6041779","345.8138146","242.0582299","570.1109865","296.3459213","305.5781344","359.5897085","197.6634514","295.7281848","273.866063","401.1152585","257.3358163","100.0620061","240.5707666","269.5230407","129.6106298","102.6698295","314.8323109","339.8488729","301.032428","274.1338819","572.8437918","473.2302169","143.9457973","360.2121962","245.1924667","173.3017689","277.2807247","143.456838","505.2560188","237.1488696","244.6571815","568.0141707","282.2975377","360.9528754","234.1872625","343.1128246","296.9372879"
"Whole Grains","77.43108255","39.32857494","139.7428413","272.1606648","24.31956001","132.7816016","67.16689661","100.9101298","187.1602022","200.9280528","7.906874427","33.9859185","81.89385812","82.0979979","39.84934443","116.4617103","13.34988226","166.288018","410.7922233","35.22311074","81.25686807","406.2376654","20.93322505","91.85941841","184.6503038","28.54846514","8.473431903","224.5869895","17.80302256","11.70349509","95.89824631","32.60006637","76.24322908","23.21239343","19.07831827","291.595354","182.9923655","9.893486801","32.51912601","17.55670394","13.95020178","78.80017941","157.6009105","163.1829395","2.673468999","115.3101255","91.74487696","24.19331259","10.01449237","70.07549479","100.3658573","89.55612299","4.024409293","21.59269908","33.25312805","71.99240475","18.71328265","270.7715185","5.637967508","47.28348681","63.71702042","83.81331868","205.1991048","21.71202589","75.36782712","152.3141255","30.30787862","70.31664105","88.96395697","43.97375358","8.054839463","88.33500023","17.99919912","2.320811153","15.41531488","6.953119809","14.30392044","0.328236683","83.72558968","8.239212498","42.80722466","21.33213875","2.662402914","213.1834734","117.373891","3.483534603","112.2090963","205.314417","63.4478261","25.11893534","21.29962675","56.92118657","121.0104548","7.964029721","262.3835178","16.54684491","131.5521909","139.0960393","85.67311092","121.7546688","11.39411818","2.191541312","63.45432534","9.018021078","110.6404075","38.54986433","42.06876494","19.15265483","4.166547725"
"Nuts And Seeds","8.136986301","43.39726027","46.76712329","25.17808219","17.39726027","47.28767123","11.50684932","0.575342466","6.520547945","7.506849315","4.219178082","32.49315068","25.53424658","25.39726027","10.76712329","16.98630137","4.301369863","0","8.219178082","1.232876712","28.68493151","11.97260274","2.383561644","7.534246575","5.424657534","0.520547945","43.36986301","35.28767123","2.821917808","29.8630137","50.90410959","20.21917808","17.64383562","20.46575342","25.5890411","0.739726027","23.04109589","8.98630137","10.93150685","1.205479452","5.205479452","17.61643836","17.39726027","10.02739726","2.657534247","11.23287671","6.383561644","19.47945205","8.273972603","12.90410959","17.83561644","13.17808219","18.46575342","1.589041096","1.232876712","14.32876712","32.95890411","7.589041096","0.273972603","24.54794521","11.78082192","9.753424658","32.35616438","3.150684932","15.26027397","2.246575342","18.1369863","5.205479452","9.534246575","21.56164384","1.506849315","8.849315068","10.32876712","6.109589041","9.589041096","17.20547945","13.56164384","12.05479452","3.945205479","3.97260274","4.356164384","8.438356164","29.39726027","8.246575342","4.684931507","7.753424658","8.712328767","11.26027397","2.164383562","1.835616438","7.178082192","10.95890411","5.369863014","4.438356164","5.726027397","4.438356164","9.917808219","9.97260274","10.49315068","11.42465753","31.64383562","5.534246575","6.273972603","27.75342466","5.506849315","3.04109589","22.24657534","1.068493151","8.438356164"
"Total Processed Meats","34.49249886","36.41908447","11.74178636","34.31120761","1.700708988","13.72530435","5.919108365","10.29543371","19.81404824","23.51625613","1.127612025","69.99469031","6.3306581","18.06620079","6.943361829","17.71555567","18.14447691","28.21097701","6.357713263","11.1009971","22.55450707","7.442698955","55.20613887","47.55328431","11.31256149","24.62556505","10.23442736","7.759153917","8.213839909","12.97988772","19.31234435","3.772864879","38.3834727","7.3170726","9.970653678","41.9621578","35.9787968","80.27223373","73.30007398","53.92135852","120.6224939","78.05612513","102.7976655","68.78584516","0.517705807","54.51259874","13.78181888","21.89307475","88.6807855","31.80651246","87.56833629","67.02545564","7.012022346","57.46512818","23.33775689","136.6921768","51.86882929","85.67235174","49.44635228","104.7412087","105.3888537","97.56296216","15.09325459","38.29303804","54.05158963","74.24189626","17.44074536","4.283309611","123.2924339","26.87911705","17.62332348","70.23617796","37.13704214","16.95602882","11.87952914","6.604600155","135.2370005","21.42689979","39.98080466","1.99131193","126.8787014","52.3759626","28.67363574","50.35327824","146.0441101","69.29084475","69.44494483","48.87417316","5.980766717","20.62931736","73.13788268","57.98828285","12.34349872","72.89592567","43.12084167","102.7517591","47.08947417","110.592624","99.66442324","71.8277678","16.49144712","15.94867265","73.17286708","6.717311035","81.21382886","66.09789741","135.5429134","75.69319966","21.13841592"
"Unprocessed Red Meats","32.74037785","31.00557307","41.76506295","69.22303896","39.3403869","28.85003812","49.36856287","51.62237451","38.04896546","54.56593565","26.46142907","98.36147407","30.10769806","14.01599099","18.86485735","33.73649913","33.38976967","35.56984491","90.19023194","33.94009879","50.76056142","13.48880789","43.9171488","89.62479788","12.22168508","70.27854454","19.32721647","19.09016115","17.53958475","36.14339995","98.90683373","33.18603923","39.53433552","20.76511918","28.41290797","133.4077052","24.21298402","98.76886216","69.57663835","229.7224771","102.6925746","277.642505","197.9146632","138.7757987","11.97544488","114.5832917","77.01270167","182.6000759","168.4972967","159.4811588","168.1576911","155.5224896","164.5496215","80.75404991","110.9910102","106.0475492","140.9256913","163.1495661","90.99200389","177.861531","163.4330641","123.0123803","214.1122249","117.076825","121.6470405","134.5526243","13.87432313","8.072854772","133.2007168","76.70992405","33.28078611","172.8049179","79.30131402","113.0987657","33.07937497","167.1762218","124.8725885","43.28542897","204.7589214","17.51553738","130.6829424","148.637736","81.70992591","160.0850779","98.28465702","85.25710045","140.0619045","154.934046","41.69046616","92.95972374","43.32787075","232.7514432","68.83458347","100.8848962","149.3997063","67.08385737","111.458471","64.31148556","150.3081795","154.6105884","48.52225151","67.14721776","145.4572699","84.4333739","66.4026095","131.107582","194.292703","131.2109099","138.0944608"
"Fish","42.52054795","36.95890411","14.4109589","25.8630137","40.79452055","45.80821918","52.2739726","6.95890411","10.43835616","55.12328767","0.520547945","80.02739726","61.42465753","28.90410959","70.49315068","2.547945205","9.01369863","2.301369863","37.69863014","14.84931507","21.45205479","19.04109589","22.87671233","50.24657534","19.80821918","31.61643836","7.178082192","38.43835616","7.753424658","64.82191781","21.01369863","31.20547945","32.90410959","17.50684932","38.73972603","14.30136986","18.43835616","6.301369863","13.78082192","10.49315068","102.1369863","50.2739726","31.12328767","48.19178082","50.63013699","16.21917808","14.68493151","4.821917808","21.26027397","99.69863014","37.67123288","35.53424658","56.02739726","14.95890411","14.57534247","34.16438356","63.39726027","47.12328767","19.31506849","77.7260274","61.7260274","39.94520548","36.38356164","76.38356164","37.20547945","14.02739726","69.8630137","14.71232877","50.63013699","23.50684932","8.849315068","172.109589","15.97260274","91.75342466","94.71232877","101.7808219","34.38356164","49.80821918","66.30136986","68.49315068","50.21917808","26.60273973","120.7671233","23.06849315","1.643835616","137.2876712","57.78082192","131.4794521","4.95890411","44.16438356","83.26027397","124.6027397","10.35616438","16.98630137","57.34246575","28.43835616","15.09589041","21.31506849","22.60273973","60.57534247","8.684931507","52.1369863","48.87671233","17.12328767","34.82191781","12.2739726","31.50684932","22.52054795","84.43835616"
"Shellfish","0.575342466","0.931506849","0.136986301","0","0.219178082","3.150684932","1.342465753","0.136986301","0.328767123","2.876712329","0","1.205479452","0.575342466","0","3.917808219","0.273972603","0.02739726","0.109589041","1.671232877","0.712328767","0.02739726","0.98630137","0.438356164","8.876712329","0","2.904109589","0","0.164383562","0","2.246575342","0","0.054794521","0.98630137","0.191780822","0","1.863013699","0.02739726","0.164383562","2.95890411","5.315068493","45.09589041","26.57534247","5.945205479","21.42465753","4.136986301","1.479452055","0.602739726","0.082191781","2.356164384","7.232876712","24.49315068","14.05479452","31.5890411","0.684931507","1.315068493","4.794520548","1.753424658","16.08219178","2.054794521","40.79452055","33.89041096","14.16438356","15.09589041","1.123287671","12.1369863","0.493150685","6.767123288","0.630136986","12.2739726","0.328767123","0","74.21917808","0.410958904","52.65753425","4.493150685","53.53424658","5.835616438","0","6.712328767","2.602739726","30.24657534","7.780821918","0.410958904","5.97260274","0.054794521","29.75342466","9.178082192","17.06849315","0.191780822","17.31506849","8.657534247","31.89041096","0.164383562","0.438356164","4.465753425","2.575342466","0.575342466","0.547945205","8","24.76712329","0.054794521","15.47945205","5.945205479","1.616438356","2.465753425","2.630136986","27.12328767","6.493150685","7.726027397"
"Eggs","3.808219178","2.136986301","7.452054795","1.452054795","3.561643836","1.095890411","1.287671233","0.739726027","17.94520548","7.04109589","0.95890411","3.068493151","2.876712329","6.02739726","2.082191781","1.863013699","4.98630137","2.191780822","15.67123288","1.863013699","2.465753425","2.98630137","3.917808219","14.82191781","3.178082192","4.082191781","0.684931507","9.369863014","0.739726027","4.301369863","1.506849315","2.547945205","19.01369863","3.835616438","2.931506849","16.71232877","8.465753425","5.506849315","21.64383562","30.05479452","11.50684932","17.61643836","33.36986301","33.53424658","4.136986301","24.82191781","10.76712329","14.2739726","22.79452055","18.16438356","34.24657534","28.32876712","49.89041096","27.39726027","23.15068493","33.5890411","9.452054795","43.97260274","23.20547945","37.36986301","36.73972603","29.69863014","24.63013699","26.95890411","27.31506849","38.2739726","12.1369863","6.356164384","24.08219178","25.7260274","25.39726027","19.42465753","14.68493151","51.75342466","3.369863014","27.94520548","33.23287671","5.260273973","9.424657534","7.205479452","24.93150685","49.67123288","16.60273973","17.34246575","5.97260274","40.52054795","38.1369863","30.10958904","7.260273973","19.36986301","10.46575342","26.65753425","54.87671233","34.24657534","41.06849315","13.04109589","18.60273973","33.53424658","27.50684932","34.08219178","8.164383562","31.42465753","7.04109589","19.31506849","47.31506849","32.76712329","38.4109589","21.09589041","8.356164384"
"Total Salt","8.008908976","5.854497115","6.742227709","6.585070688","9.759464893","7.041744632","5.273222176","5.67882913","7.135361194","6.819877017","10.57157854","2.703729749","5.717294086","6.149603872","5.782670342","6.857656937","5.256855955","6.54600064","4.611042264","5.250319005","8.007863874","9.281116748","2.296285731","7.435984671","6.038921753","6.989252707","6.317907004","6.681360947","9.910379553","6.21822285","6.027278076","5.602184154","8.189863724","6.019350993","5.787685471","8.526777844","8.968927147","5.88735165","8.030808976","4.148947047","6.248697115","6.775077709","7.843226221","6.815020688","10.31791489","7.242494632","7.011754728","5.397322176","7.548765973","6.10222913","7.372611194","6.834477017","9.87077854","2.802279749","5.695394086","6.361303872","7.060170342","7.335806937","5.384605955","6.693249498","7.304639537","6.54965064","4.348242264","6.031419005","7.482263874","9.507416748","2.774435731","7.249834671","6.144771753","6.894352707","6.244907004","6.750710947","9.979729553","9.904431573","6.23282285","10.78929263","8.79921093","12.32848595","6.848528076","6.554834154","7.751863724","6.161700993","5.776735471","8.482977844","8.888627147","6.88015165","5.297321538","7.397119057","6.643391876","5.880449084","4.44518899","8.975823041","4.933024389","9.868422144","7.497990889","7.740313166","5.615333208","7.230400802","7.335720517","8.418304722","7.576484438","10.86170532","5.59022434","6.584654192","7.337788651","6.381303715","8.241646405","5.897965761","3.340603795"
"Added Sugars","59.50684932","22.02739726","20.79452055","23.31506849","23.20547945","31.94520548","38.4109589","91.94520548","81.15068493","72.63013699","16.84931507","52.76712329","38.21917808","37.78082192","82.90410959","31.17808219","47.01369863","56.32876712","104.739726","22.98630137","27.34246575","26.4109589","105.1506849","97.45205479","29.64383562","71.97260274","11.50684932","29.78082192","18.52054795","56.10958904","25.80821918","48.73972603","104.739726","30.46575342","40.05479452","123.8082192","29.28767123","85.75342466","100.3561644","129.1780822","141.0684932","358.9041096","126.6027397","148.7671233","29.83561644","98.05479452","101.7808219","250.6575342","117.6164384","168.4931507","255.890411","160.4109589","18","160.739726","167.9452055","136.6575342","172.4383562","148.9041096","96.76712329","83.31506849","104.0821918","106.9589041","98.32876712","100","147.5068493","94.21917808","43.61643836","57.23287671","113.8356164","93.83561644","55.23287671","246.9315068","115.9178082","69.94520548","61.97260274","112.0273973","97.26027397","102.1369863","147.6712329","93.91780822","453.7808219","142.8493151","71.36986301","341.6986301","124.9589041","136.8219178","128.8767123","126.9863014","74.68493151","59.39726027","60.49315068","130.3013699","84.10958904","69.7260274","210.9863014","94","66.84931507","226.0273973","121.0958904","136.9863014","120.7945205","170.4931507","184.3287671","100.1369863","196.0273973","144.2191781","170.4931507","115.5342466","29.8630137"
"Non-Starchy Vegetables","107.4246575","106.0547945","42.84931507","130.7945205","99.78082192","350.5753425","117.7260274","176.739726","402.6575342","581.5068493","65.09589041","158.9041096","188.4931507","229.890411","59.7260274","149.1232877","149.1780822","63.53424658","369.5342466","64.32876712","256.3835616","50.68493151","43.53424658","201.0684932","80.63013699","391.1232877","124.4931507","271.3150685","210.5205479","179.1506849","26.93150685","69.04109589","678.3013699","117.6164384","82.87671233","132.4931507","79.83561644","46.43835616","671.6438356","192.5205479","118.7123288","273.6438356","266.630137","293.1232877","75.91780822","206.1369863","577.3424658","100.4383562","148.4383562","185.9452055","290.9863014","255.6438356","894.2739726","131.6438356","369.369863","224.3013699","353.9178082","312.1917808","134.2191781","396.7945205","284.7945205","229.8630137","630.5205479","173.6164384","210.1369863","192.0821918","112.7123288","202.9863014","239.0136986","597.3972603","488.3835616","169.1232877","333.369863","286.1917808","104.3013699","538.5479452","430.4383562","434.2191781","89.97260274","118.9863014","276.7945205","162.7123288","239.2876712","214.8493151","105.7260274","163.1232877","162.9589041","189.4246575","82.95890411","212.7123288","174.8219178","558.739726","145.5342466","491.1780822","279.1506849","260.6027397","325.0410959","240.9863014","200.1917808","219.4794521","270.9863014","156.0273973","101.7534247","631.3972603","432.3835616","148.3561644","332.3287671","179.9178082","249.6164384"
"Potatoes","67.80821918","0.547945205","4.876712329","0.246575342","1.479452055","16.30136986","3.506849315","40.10958904","181.5616438","82.76712329","15.67123288","3.917808219","0.356164384","13.20547945","7.643835616","2.273972603","152.630137","152","117.9178082","16","17.39726027","18.57534247","21.94520548","50.95890411","320.1917808","42.05479452","6.410958904","12.16438356","309.9726027","17.17808219","8.328767123","1.890410959","82.35616438","59.34246575","8.575342466","89.94520548","5.671232877","3.945205479","106.4931507","106.4931507","28.35616438","149.1232877","157.1232877","231.4246575","124.3013699","85.7260274","201.6438356","188.6575342","51.7260274","103.2054795","235.6438356","118.7123288","111.8630137","100","46.93150685","173.5068493","26.16438356","151.2876712","16.08219178","171.890411","147.6712329","251.1506849","177.6438356","27.67123288","122.1643836","110.2739726","10.65753425","62.4109589","225.6164384","154.7123288","37.7260274","143.8082192","67.01369863","49.31506849","0.136986301","32.49315068","106.8767123","12.46575342","30.19178082","21.80821918","149.4520548","39.42465753","27.28767123","72.71232877","146.109589","24.49315068","253.5342466","156.6575342","38.05479452","220.4931507","5.232876712","175.8630137","6.301369863","267.9726027","286.3287671","24.76712329","106.3561644","108","133.4794521","144.5479452","81.36986301","8.328767123","80.90410959","134","355.6712329","77.31506849","141.2876712","50.21917808","10.82191781"
"Other Starchy Vegetables","83.28767123","418.5205479","31.23287671","251.4794521","652.739726","203.7260274","60.43835616","0","0","7.671232877","40.19178082","528.4657534","772.630137","176.2191781","0.054794521","69.89041096","52.32876712","0","1.287671233","63.8630137","48.60273973","94.08219178","3.917808219","1.698630137","60.43835616","0.164383562","12.02739726","409.0136986","204.3013699","12.35616438","64.82191781","227.1780822","0","149.2876712","476.9041096","2.767123288","47.09589041","4.821917808","11.83561644","21.7260274","10.21917808","5.397260274","0.109589041","0.98630137","4.904109589","7.095890411","0.109589041","66.93150685","4.383561644","25.01369863","4.136986301","0.246575342","65.09589041","160.1643836","262.8219178","0.02739726","204.109589","0.95890411","132.5205479","2.547945205","0.630136986","1.397260274","0.98630137","33.06849315","0","0","19.56164384","2.164383562","5.780821918","0","0","3.287671233","0.684931507","13.31506849","14","11.80821918","0.602739726","22.4109589","29.06849315","72.93150685","2.794520548","1.095890411","46.63013699","0","0","2.02739726","6.904109589","0.164383562","0.164383562","18.95890411","14.02739726","1.589041096","17.28767123","1.479452055","0","0.438356164","0","1.178082192","0","0.219178082","0","0.465753425","15.67123288","0","0","50.08219178","10.4109589","47.23287671","13.5890411"
"Beans And Legumes","20.79452055","28.05479452","54.68493151","23.15068493","5.945205479","59.69863014","8.547945205","35.20547945","19.97260274","21.31506849","60.54794521","0.547945205","25.28767123","12.71232877","2.95890411","7.753424658","33.5890411","26.19178082","20.35616438","11.53424658","30.87671233","28.54794521","32.38356164","27.83561644","55.64383562","20.2739726","124.5753425","29.26027397","113.1232877","15.5890411","19.36986301","26.68493151","26.08219178","53.67123288","73.23287671","10.49315068","11.53424658","11.23287671","15.15068493","5.698630137","6.082191781","21.09589041","9.561643836","6.712328767","15.78082192","6.739726027","21.09589041","11.56164384","45.09589041","22.63013699","21.80821918","6.082191781","13.80821918","14.1369863","57.09589041","3.917808219","12.90410959","3.342465753","26.73972603","14.4109589","5.479452055","8.849315068","13.06849315","22.71232877","1.890410959","8.684931507","6.657534247","37.5890411","16.32876712","16.87671233","9.369863014","2.931506849","19.7260274","24.63013699","21.69863014","21.39726027","18.05479452","9.095890411","19.17808219","25.61643836","2.356164384","28.30136986","41.31506849","11.39726027","1.287671233","8.410958904","3.97260274","34.30136986","15.47945205","23.5890411","4.191780822","9.808219178","24.05479452","5.726027397","5.287671233","15.69863014","24.08219178","4.301369863","6.98630137","6.02739726","23.5890411","13.80821918","26.38356164","35.78082192","6.273972603","7.890410959","11.36986301","15.50684932","15.69863014"
